날짜,종목코드,시가,고가,저가,종가,출처
2025-06-05,0000D0,8073,8093,8017,8053,Naver
2025-06-05,0000H0,10620,10660,10530,10630,Naver
2025-06-05,0000J0,21565,22325,21565,22120,Naver
2025-06-05,0000Y0,98943,98943,98943,98943,Naver
2025-06-05,0000Z0,10780,10805,10510,10615,Naver
2025-06-05,0001P0,9520,9605,9455,9520,Naver
2025-06-05,0002C0,10515,10515,10390,10500,Naver
2025-06-05,0004G0,8566,8566,8498,8518,Naver
2025-06-05,0005A0,7745,7748,7673,7703,Naver
2025-06-05,0005C0,10097,10097,9959,10018,Naver
2025-06-05,0005D0,9612,9917,9572,9807,Naver
2025-06-05,0005G0,10288,10787,10288,10672,Naver
2025-06-05,0007F0,10035,10040,10030,10040,Naver
2025-06-05,0007G0,10172,10181,9872,10027,Naver
2025-06-05,0007N0,37710,38365,37710,37935,Naver
2025-06-05,0008E0,8706,8721,8641,8691,Naver
2025-06-05,0008S0,7728,7728,7602,7627,Naver
2025-06-05,0008T0,14506,14586,14217,14382,Naver
2025-06-05,0013P0,8789,8798,8705,8745,Naver
2025-06-05,0013R0,7874,7874,7790,7795,Naver
2025-06-05,0015B0,9940,9940,9725,9755,Naver
2025-06-05,0015E0,9696,9736,9691,9711,Naver
2025-06-05,0015F0,9883,9883,9800,9810,Naver
2025-06-05,0015K0,8088,8088,7974,7989,Naver
2025-06-05,0016X0,50036,50036,50016,50016,Naver
2025-06-05,0017Y0,99602,99602,99563,99563,Naver
2025-06-05,0018C0,9996,9996,9787,9862,Naver
2025-06-05,0018Z0,11732,11912,11732,11782,Naver
2025-06-05,0019K0,10117,10127,10067,10072,Naver
2025-06-05,0020H0,12300,12385,12150,12170,Naver
2025-06-05,0021C0,10031,10031,9926,9926,Naver
2025-06-05,0021D0,10001,10001,9952,9952,Naver
2025-06-05,0021E0,10026,10026,9956,9976,Naver
2025-06-05,0022T0,10379,10379,10269,10289,Naver
2025-06-05,0023A0,14544,14544,14389,14494,Naver
2025-06-05,0023B0,11948,11953,11803,11893,Naver
2025-06-05,0025N0,9746,9751,9657,9682,Naver
2025-06-05,0026E0,9399,9483,9394,9428,Naver
2025-06-05,0026S0,9861,9861,9786,9806,Naver
2025-06-05,0028X0,9971,9971,9906,9916,Naver
2025-06-05,0035T0,11635,11635,10849,11366,Naver
2025-06-05,0036D0,9352,9352,9256,9290,Naver
2025-06-05,0036R0,11435,11445,11350,11360,Naver
2025-06-05,0036Z0,9650,9650,9582,9641,Naver
2025-06-05,0038A0,11661,11661,11551,11561,Naver
2025-06-05,0040S0,11758,11793,11663,11663,Naver
2025-06-05,0040X0,8827,8827,8694,8709,Naver
2025-06-05,0040Y0,8461,8519,8328,8479,Naver
2025-06-05,0041D0,12541,12601,12496,12536,Naver
2025-06-05,0041E0,10917,10917,10827,10862,Naver
2025-06-05,0043B0,99733,99738,99728,99733,Naver
2025-06-05,0043Y0,9826,9856,9771,9851,Naver
2025-06-05,0046A0,9175,9175,9108,9136,Naver
2025-06-05,0046Y0,9963,9973,9898,9928,Naver
2025-06-05,0047A0,9665,9670,9510,9655,Naver
2025-06-05,0047N0,9803,9958,9758,9878,Naver
2025-06-05,0047P0,10649,10694,10629,10664,Naver
2025-06-05,0047R0,10669,10674,10599,10654,Naver
2025-06-05,0048J0,13145,13150,13069,13097,Naver
2025-06-05,0048K0,8624,8709,8434,8664,Naver
2025-06-05,0049K0,9956,9956,9811,9840,Naver
2025-06-05,0049M0,9489,9489,9369,9381,Naver
2025-06-05,0050E0,9909,9983,9498,9498,Naver
2025-06-05,0051A0,10185,10310,10180,10255,Naver
2025-06-05,0051G0,11432,11432,11162,11192,Naver
2025-06-05,0052D0,10294,10440,10269,10415,Naver
2025-06-05,0052T0,49410,49420,49395,49395,Naver
2025-06-05,0053L0,9516,9599,9331,9575,Naver
2025-06-05,069500,37149,37894,37119,37507,Naver
2025-06-05,069660,37075,37794,37035,37432,Naver
2025-06-05,091160,32500,33645,32375,33070,Naver
2025-06-05,091170,9931,10030,9820,9931,Naver
2025-06-05,091180,17129,17623,17114,17458,Naver
2025-06-05,091220,10409,10503,10297,10355,Naver
2025-06-05,091230,33498,34894,33498,34356,Naver
2025-06-05,099140,21186,21186,21011,21026,Naver
2025-06-05,100910,5797,5866,5752,5812,Naver
2025-06-05,101280,22395,22395,22078,22098,Naver
2025-06-05,102110,37091,37839,37061,37467,Naver
2025-06-05,102780,8900,9135,8895,9130,Naver
2025-06-05,102960,9230,9250,9130,9175,Naver
2025-06-05,102970,11655,11700,11370,11655,Naver
2025-06-05,104520,9170,9289,9170,9259,Naver
2025-06-05,104530,12777,12851,12718,12782,Naver
2025-06-05,105010,4313,4313,4246,4275,Naver
2025-06-05,105190,37263,38041,37243,37669,Naver
2025-06-05,105780,5841,5995,5841,5951,Naver
2025-06-05,108450,14845,15050,14815,15045,Naver
2025-06-05,108590,37203,37923,37203,37565,Naver
2025-06-05,114100,107872,107872,107788,107813,Naver
2025-06-05,114260,61938,61963,61899,61918,Naver
2025-06-05,114460,101939,101939,101822,101822,Naver
2025-06-05,114470,109047,109090,108982,109037,Naver
2025-06-05,114800,4050,4050,3960,4000,Naver
2025-06-05,114820,105419,105419,105291,105291,Naver
2025-06-05,117460,9940,10015,9855,9925,Naver
2025-06-05,117680,9349,9538,9349,9448,Naver
2025-06-05,117690,19475,19475,19252,19305,Naver
