날짜,종목코드,시가,고가,저가,종가,출처
2025-06-05,0000D0,8117,8117,7939,8053,Naver
2025-06-05,0000H0,10739,10739,10530,10630,Naver
2025-06-05,0000J0,20915,22325,20805,22120,Naver
2025-06-05,0000Y0,98938,98957,98938,98943,Naver
2025-06-05,0000Z0,10715,10910,10510,10615,Naver
2025-06-05,0004G0,8675,8675,8498,8518,Naver
2025-06-05,0005A0,7673,7789,7645,7703,Naver
2025-06-05,0005C0,10141,10151,9959,10018,Naver
2025-06-05,0005D0,9747,9917,9497,9807,Naver
2025-06-05,0005G0,10244,10787,9950,10672,Naver
2025-06-05,0007F0,10045,10050,10030,10040,Naver
2025-06-05,0007G0,9668,10236,9623,10027,Naver
2025-06-05,0007N0,36295,38365,36230,37935,Naver
2025-06-05,0008E0,8621,8836,8516,8691,Naver
2025-06-05,0008S0,7728,7741,7602,7627,Naver
2025-06-05,0013P0,8715,8927,8705,8745,Naver
2025-06-05,0013R0,8078,8078,7790,7795,Naver
2025-06-05,0015E0,9651,9736,9515,9711,Naver
2025-06-05,0015F0,9898,9908,9782,9810,Naver
2025-06-05,0015K0,8044,8198,7959,7989,Naver
2025-06-05,0016X0,50036,50045,50006,50016,Naver
2025-06-05,0017Y0,100181,100226,99558,99563,Naver
2025-06-05,0018C0,9587,9996,9468,9862,Naver
2025-06-05,0018Z0,11792,11997,11513,11782,Naver
2025-06-05,0019K0,10022,10177,9962,10072,Naver
2025-06-05,0020H0,11745,12385,11745,12170,Naver
2025-06-05,0021C0,10070,10080,9926,9926,Naver
2025-06-05,0021D0,10041,10041,9952,9952,Naver
2025-06-05,0021E0,10001,10081,9922,9976,Naver
2025-06-05,0022T0,10269,10409,10230,10289,Naver
2025-06-05,0023A0,14159,14624,13959,14494,Naver
2025-06-05,0023B0,11644,12002,11644,11893,Naver
2025-06-05,0026E0,9433,9483,9334,9428,Naver
2025-06-05,0026S0,9851,9951,9752,9806,Naver
2025-06-05,0028X0,10031,10086,9906,9916,Naver
2025-06-05,0035T0,11615,11635,10849,11366,Naver
2025-06-05,0036D0,9271,9409,9242,9290,Naver
2025-06-05,0036R0,11390,11540,11240,11360,Naver
2025-06-05,0036Z0,9567,9836,9509,9641,Naver
2025-06-05,0038A0,11736,11795,11511,11561,Naver
2025-06-05,0040S0,11713,11823,11403,11663,Naver
2025-06-05,0040X0,8827,8858,8694,8709,Naver
2025-06-05,0040Y0,8461,8632,8328,8479,Naver
2025-06-05,0041E0,10852,11000,10777,10862,Naver
2025-06-05,0043B0,99699,99738,99694,99733,Naver
2025-06-05,0043Y0,9671,9856,9401,9851,Naver
2025-06-05,0046A0,9283,9287,9108,9136,Naver
2025-06-05,0046Y0,10033,10073,9898,9928,Naver
2025-06-05,0047A0,9395,9670,9181,9655,Naver
2025-06-05,0047P0,10824,10849,10584,10664,Naver
2025-06-05,0047R0,10585,10814,10525,10654,Naver
2025-06-05,0048J0,13323,13323,13069,13097,Naver
2025-06-05,0048K0,8554,8709,8419,8664,Naver
2025-06-05,0049K0,9874,9956,9811,9840,Naver
2025-06-05,0049M0,9447,9499,9357,9381,Naver
2025-06-05,0050E0,9587,9983,9478,9498,Naver
2025-06-05,0051A0,9910,10310,9705,10255,Naver
2025-06-05,0051G0,11227,11497,11062,11192,Naver
2025-06-05,0052D0,10039,10440,9853,10415,Naver
2025-06-05,0052T0,49410,49425,49376,49395,Naver
2025-06-05,0053L0,9366,9599,9261,9575,Naver
2025-06-05,069500,35770,37894,35680,37507,Naver
2025-06-05,069660,35660,37794,35610,37432,Naver
2025-06-05,091160,30950,33645,30825,33070,Naver
2025-06-05,091170,9613,10030,9332,9931,Naver
2025-06-05,091180,17069,17623,16815,17458,Naver
2025-06-05,091220,10106,10503,9782,10355,Naver
2025-06-05,091230,31942,34894,31937,34356,Naver
2025-06-05,099140,20802,21244,20262,21026,Naver
2025-06-05,100910,5572,5866,5527,5812,Naver
2025-06-05,101280,22693,23002,22078,22098,Naver
2025-06-05,102110,35728,37839,35623,37467,Naver
2025-06-05,102780,8675,9135,8615,9130,Naver
2025-06-05,102960,8825,9250,8800,9175,Naver
2025-06-05,102970,10860,11700,10490,11655,Naver
2025-06-05,104520,8932,9289,8827,9259,Naver
2025-06-05,104530,12336,12851,12135,12782,Naver
2025-06-05,105190,35932,38041,35819,37669,Naver
2025-06-05,105780,5675,5995,5631,5951,Naver
2025-06-05,108450,14425,15050,14350,15045,Naver
2025-06-05,108590,35952,37923,35773,37565,Naver
2025-06-05,114100,108026,108055,107788,107813,Naver
2025-06-05,114260,62002,62056,61869,61918,Naver
2025-06-05,114460,102026,102098,101817,101822,Naver
2025-06-05,114470,109196,109260,108982,109037,Naver
2025-06-05,114800,4205,4215,3960,4000,Naver
2025-06-05,114820,105504,105573,105276,105291,Naver
2025-06-05,117460,9560,10015,9475,9925,Naver
2025-06-05,117680,9175,9538,9040,9448,Naver
2025-06-05,117690,19398,19475,18771,19305,Naver
2025-06-05,117700,3805,4115,3800,4065,Naver
2025-06-05,122090,24169,25535,24015,25313,Naver
2025-06-05,122260,101420,101444,101410,101424,Naver
2025-06-05,122630,17375,19490,17315,19125,Naver
2025-06-05,123310,4680,4700,4420,4470,Naver
2025-06-05,123320,17075,19166,17035,18783,Naver
2025-06-05,130680,3810,3919,3810,3884,Naver
2025-06-05,130730,99957,100011,99957,100006,Naver
2025-06-05,131890,18480,19325,18405,19325,Naver
2025-06-05,132030,19547,19995,19503,19886,Naver
2025-06-05,133690,130043,131855,128539,130337,Naver
2025-06-05,136340,105136,105171,104953,104983,Naver
2025-06-05,137610,5353,5397,5313,5387,Naver
2025-06-05,138230,15501,15501,15239,15288,Naver
2025-06-05,138520,11452,12256,11402,12256,Naver
2025-06-05,138530,6339,6543,6284,6473,Naver
2025-06-05,138540,28995,30316,28960,30061,Naver
2025-06-05,138910,7845,8105,7845,8065,Naver
2025-06-05,138920,10850,10885,10760,10820,Naver
2025-06-05,139220,3865,4250,3860,4215,Naver
2025-06-05,139230,8851,9410,8826,9305,Naver
2025-06-05,139240,9005,9394,8906,9290,Naver
2025-06-05,139250,9840,10459,9721,10394,Naver
2025-06-05,139260,26454,28557,26419,28108,Naver
2025-06-05,139270,9807,10306,9500,10227,Naver
2025-06-05,139280,10457,10621,10382,10517,Naver
2025-06-05,139290,16131,16589,15902,16430,Naver
2025-06-05,139320,14260,14569,14190,14509,Naver
2025-06-05,139660,8505,8660,8505,8630,Naver
2025-06-05,140570,12509,13053,12469,12964,Naver
2025-06-05,140580,13620,14105,13471,14026,Naver
2025-06-05,140700,9670,10835,9450,10600,Naver
2025-06-05,140710,5775,6060,5755,5930,Naver
2025-06-05,140950,27042,28618,26972,28335,Naver
2025-06-05,143850,62182,63057,61910,62948,Naver
2025-06-05,143860,37685,37935,37150,37405,Naver
2025-06-05,144600,5801,6090,5786,6065,Naver
2025-06-05,145670,5305,5305,4955,5005,Naver
2025-06-05,145850,40030,41991,40030,41991,Naver
2025-06-05,147970,37369,38911,37135,38706,Naver
2025-06-05,148020,36001,38130,35907,37768,Naver
2025-06-05,148070,112706,112822,111671,111874,Naver
2025-06-05,150460,7285,7470,7285,7430,Naver
2025-06-05,152100,36303,38482,36248,38090,Naver
2025-06-05,152380,70192,70222,69475,69554,Naver
2025-06-05,152500,7029,7859,6985,7706,Naver
2025-06-05,152870,36266,38351,36166,37933,Naver
2025-06-05,153130,111205,111250,111190,111235,Naver
2025-06-05,153270,26673,28219,26549,27876,Naver
2025-06-05,156080,16105,17000,16065,16795,Naver
2025-06-05,157450,109421,109465,109416,109465,Naver
2025-06-05,157490,8040,8320,7995,8265,Naver
2025-06-05,157500,7595,8125,7345,7995,Naver
2025-06-05,159800,27425,28990,27420,28830,Naver
2025-06-05,160580,11735,11900,11705,11730,Naver
2025-06-05,161510,16582,17202,16243,17133,Naver
2025-06-05,167860,111047,111096,109034,109063,Naver
2025-06-05,168580,26137,26137,25692,26010,Naver
2025-06-05,169950,20619,20851,20421,20782,Naver
2025-06-05,174350,14522,15140,14333,14985,Naver
2025-06-05,174360,17857,18129,17368,17388,Naver
2025-06-05,176950,53246,53795,53246,53672,Naver
2025-06-05,181480,78749,79427,78749,79331,Naver
2025-06-05,182480,11966,12170,11966,12033,Naver
2025-06-05,182490,13336,13341,13176,13221,Naver
2025-06-05,183700,62184,62857,61971,62852,Naver
2025-06-05,183710,40935,42210,40797,41981,Naver
2025-06-05,185680,23855,24375,23245,24085,Naver
2025-06-05,189400,20345,20690,20290,20675,Naver
2025-06-05,190620,99092,99131,99087,99126,Naver
