날짜,종목코드,시가,고가,저가,종가,출처
2025-06-30,0000D0,8117,8459,7939,8349,Naver
2025-06-30,0000J0,20915,25550,20805,23065,Naver
2025-06-30,0000Y0,98938,99035,98933,99035,Naver
2025-06-30,0000Z0,10715,11420,10510,11060,Naver
2025-06-30,0001P0,9365,9830,9285,9360,Naver
2025-06-30,0002C0,10625,10870,10165,10705,Naver
2025-06-30,0004G0,8675,8675,8285,8363,Naver
2025-06-30,0005A0,7673,7995,7645,7943,Naver
2025-06-30,0005C0,10141,10313,9876,10234,Naver
2025-06-30,0005D0,9747,10321,9274,9842,Naver
2025-06-30,0005G0,10244,12514,9950,12154,Naver
2025-06-30,0007F0,10045,10065,9848,10065,Naver
2025-06-30,0007G0,9668,11937,9623,11697,Naver
2025-06-30,0007N0,36295,42480,36230,42030,Naver
2025-06-30,0008E0,8621,9111,8511,9026,Naver
2025-06-30,0008S0,7728,7867,7602,7715,Naver
2025-06-30,0008T0,13882,16409,13832,16244,Naver
2025-06-30,0013P0,8715,9505,8705,9470,Naver
2025-06-30,0013R0,8078,8078,7459,7808,Naver
2025-06-30,0015B0,9450,11605,9450,10690,Naver
2025-06-30,0015E0,9651,10389,9377,10364,Naver
2025-06-30,0015F0,9898,10459,9665,10254,Naver
2025-06-30,0015K0,8044,8407,7865,8243,Naver
2025-06-30,0016X0,50036,50115,49991,50110,Naver
2025-06-30,0017Y0,100181,100226,99533,99869,Naver
2025-06-30,0018C0,9587,10562,9468,10526,Naver
2025-06-30,0018Z0,11792,13467,11513,12470,Naver
2025-06-30,0019K0,10022,10776,9962,10566,Naver
2025-06-30,0020H0,11745,13130,11745,12760,Naver
2025-06-30,0021C0,10070,10295,9726,10205,Naver
2025-06-30,0021E0,10001,10350,9922,10191,Naver
2025-06-30,0022T0,10269,10619,9944,9984,Naver
2025-06-30,0023A0,14159,15178,13959,14369,Naver
2025-06-30,0025N0,9741,9988,9657,9943,Naver
2025-06-30,0026E0,9433,9771,9265,9622,Naver
2025-06-30,0026S0,9851,10193,9752,10131,Naver
2025-06-30,0028X0,10031,11088,9886,10688,Naver
2025-06-30,0035T0,11615,12138,10849,11536,Naver
2025-06-30,0036D0,9271,9605,9242,9484,Naver
2025-06-30,0036R0,11390,12269,11213,12034,Naver
2025-06-30,0036Z0,9567,10109,9509,9738,Naver
2025-06-30,0038A0,11736,12355,11391,12230,Naver
