날짜,종목코드,시가,고가,저가,종가,출처
2025-06-30,000020,6600,6920,6480,6740,Naver
2025-06-30,000050,7310,8850,7270,7660,Naver
2025-06-30,000070,52049,61391,51048,58188,Naver
2025-06-30,000080,20150,20900,19660,20600,Naver
2025-06-30,000100,104900,108800,100500,104200,Naver
2025-06-30,000105,98400,100500,94000,97000,Naver
2025-06-30,000120,80100,92300,79500,87400,Naver
2025-06-30,000140,9310,12000,9150,10440,Naver
2025-06-30,000150,470000,699500,468000,656000,Naver
2025-06-30,000155,310500,481000,308000,379500,Naver
2025-06-30,000157,347000,616000,330000,406500,Naver
2025-06-30,000180,7215,9330,7175,7900,Naver
2025-06-30,000210,43700,51600,41700,45800,Naver
2025-06-30,000220,4610,4760,4455,4515,Naver
2025-06-30,000230,6930,7240,6630,6940,Naver
2025-06-30,000240,19520,19530,18020,19200,Naver
2025-06-30,000250,145700,175500,143700,147300,Naver
2025-06-30,000270,88400,104500,88100,96900,Naver
2025-06-30,000300,4200,4200,4200,4200,Naver
2025-06-30,000320,17950,25500,17410,24200,Naver
2025-06-30,000370,4630,6050,4455,5760,Naver
2025-06-30,000390,6030,6280,5840,6120,Naver
2025-06-30,000400,1639,2170,1604,1805,Naver
2025-06-30,000430,3725,3925,3660,3695,Naver
2025-06-30,000440,13100,26250,13060,15960,Naver
2025-06-30,000480,5310,5590,5310,5420,Naver
2025-06-30,000490,10800,11340,10270,10310,Naver
2025-06-30,000500,70800,77300,61900,66200,Naver
2025-06-30,000520,11100,11250,9630,10200,Naver
2025-06-30,000540,4205,4670,3975,4200,Naver
2025-06-30,000590,83000,102100,79300,92200,Naver
2025-06-30,000640,109164,120333,104891,108776,Naver
2025-06-30,000650,39750,47000,39750,41900,Naver
2025-06-30,000660,205000,298500,203000,292000,Naver
2025-06-30,000670,38865,50588,38087,41784,Naver
2025-06-30,000680,3620,4270,3565,4060,Naver
2025-06-30,000700,6040,6440,5880,5970,Naver
2025-06-30,000720,61900,85100,61800,78500,Naver
2025-06-30,000725,61300,74500,59000,64300,Naver
2025-06-30,000810,400000,466000,386000,434000,Naver
2025-06-30,000815,295000,329000,282000,324000,Naver
2025-06-30,000850,31500,33350,31200,31900,Naver
2025-06-30,000860,12500,13120,12130,12500,Naver
2025-06-30,000880,73500,104100,73200,94300,Naver
2025-06-30,000910,4775,4950,4585,4625,Naver
2025-06-30,000970,7040,7440,6840,7010,Naver
2025-06-30,000990,39850,48600,39650,46800,Naver
2025-06-30,001000,1637,2230,1550,1860,Naver
2025-06-30,001020,3625,3890,3410,3780,Naver
2025-06-30,001040,136100,169100,132500,160500,Naver
2025-06-30,001045,78000,93000,76500,85500,Naver
2025-06-30,001060,23300,24250,22100,22400,Naver
2025-06-30,001080,2760,2965,2510,2595,Naver
2025-06-30,001120,28300,32400,27900,31150,Naver
2025-06-30,001130,14260,15780,14220,14940,Naver
2025-06-30,001200,3380,3840,3270,3585,Naver
2025-06-30,001230,1785,1932,1703,1756,Naver
2025-06-30,001250,2625,2810,2590,2705,Naver
