날짜,종목코드,시가,고가,저가,종가,출처
2025-06-05,000150,470000,563000,468000,549000,Naver
2025-06-05,000270,88400,93500,88100,93100,Naver
2025-06-05,000660,205000,230000,203000,224500,Naver
2025-06-05,000720,61900,71100,61800,68000,Naver
2025-06-05,000810,400000,447000,386000,445500,Naver
2025-06-05,000880,73500,97100,73200,90700,Naver
2025-06-05,001440,12780,13800,12580,13660,Naver
2025-06-05,003230,1125000,1142000,1077000,1133000,Naver
2025-06-05,003490,22500,23500,22400,22800,Naver
2025-06-05,003550,70800,75900,70800,74100,Naver
2025-06-05,003670,113506,117771,109241,115348,Naver
2025-06-05,005380,184600,193000,183100,189600,Naver
2025-06-05,005387,147600,152900,146000,151800,Naver
2025-06-05,005490,245500,259000,240500,257000,Naver
2025-06-05,005830,99000,106900,97000,105900,Naver
2025-06-05,005930,56300,59900,56200,59100,Naver
2025-06-05,005935,46100,48950,45900,48500,Naver
2025-06-05,005940,17250,18400,16890,17860,Naver
2025-06-05,006260,156900,181800,156000,180500,Naver
2025-06-05,006400,170000,179000,167000,174300,Naver
2025-06-05,006800,15701,18021,14965,17743,Naver
2025-06-05,007660,38100,41900,38000,40650,Naver
2025-06-05,009150,121500,133300,120200,132000,Naver
2025-06-05,009540,313500,335000,305000,319000,Naver
2025-06-05,010120,49700,52300,47900,51800,Naver
2025-06-05,010130,731000,775000,718000,758000,Naver
2025-06-05,010140,17060,17290,16100,16750,Naver
2025-06-05,010950,55300,58000,54500,56300,Naver
2025-06-05,011070,144700,150500,142000,149400,Naver
2025-06-05,011200,22350,23650,21550,21600,Naver
2025-06-05,012330,250500,257500,245000,254000,Naver
2025-06-05,012450,822000,925000,811000,905000,Naver
2025-06-05,015760,30550,30900,28550,29350,Naver
2025-06-05,016360,60300,62900,57800,61500,Naver
2025-06-05,017670,51500,53100,51500,52600,Naver
2025-06-05,018260,128900,135500,128900,134600,Naver
2025-06-05,024110,15670,16190,15250,16050,Naver
2025-06-05,028050,21500,22450,21100,22300,Naver
2025-06-05,028260,148300,169000,147900,168900,Naver
2025-06-05,030200,50600,51000,49400,50300,Naver
2025-06-05,032830,98900,128200,98100,120500,Naver
2025-06-05,033780,119200,125700,119200,122200,Naver
2025-06-05,034020,39300,46250,39300,45900,Naver
2025-06-05,034220,8530,8600,8280,8500,Naver
2025-06-05,034730,162100,189500,161100,187000,Naver
2025-06-05,035420,185800,192000,185500,191200,Naver
2025-06-05,035720,43200,44900,41050,44300,Naver
2025-06-05,036930,31500,33700,31250,32600,Naver
2025-06-05,039490,161800,177800,160100,175200,Naver
2025-06-05,042660,77600,79400,75600,78000,Naver
2025-06-05,042700,80300,85000,79800,82700,Naver
2025-06-05,047040,4275,4805,4120,4535,Naver
2025-06-05,047050,48750,51000,48100,50500,Naver
2025-06-05,047810,83700,92700,83000,89200,Naver
2025-06-05,051910,197500,204000,193900,201500,Naver
2025-06-05,055550,57600,60100,55000,59200,Naver
2025-06-05,064350,149600,158100,147300,155500,Naver
2025-06-05,064400,50200,52100,49600,51500,Naver
2025-06-05,066570,70800,72800,70600,72400,Naver
2025-06-05,068270,147079,150016,146528,149742,Naver
2025-06-05,069500,35770,37894,35680,37507,Naver
2025-06-05,071050,106900,115300,102400,114100,Naver
2025-06-05,079550,428000,457000,428000,449500,Naver
2025-06-05,086280,111900,120200,110200,117900,Naver
2025-06-05,086520,42900,45750,41900,45350,Naver
2025-06-05,086790,71300,74700,69100,73500,Naver
2025-06-05,096770,89600,93200,87000,92100,Naver
2025-06-05,102110,35728,37839,35623,37467,Naver
2025-06-05,105560,103700,108000,98600,106300,Naver
2025-06-05,122630,17375,19490,17315,19125,Naver
2025-06-05,133690,130043,131855,128539,130337,Naver
2025-06-05,138040,111000,115400,110400,111100,Naver
2025-06-05,161390,38350,39550,38000,39000,Naver
2025-06-05,180640,138300,157600,138000,149700,Naver
2025-06-05,196170,332500,388000,330500,368500,Naver
2025-06-05,207940,1505594,1535029,1493820,1499707,Naver
2025-06-05,247540,90300,97900,87600,96200,Naver
2025-06-05,259960,366500,375500,363000,369500,Naver
2025-06-05,267250,107500,123400,106700,118000,Naver
2025-06-05,267260,373500,394500,366500,389000,Naver
2025-06-05,272210,45500,45750,43050,44000,Naver
2025-06-05,277810,264000,290000,262000,287500,Naver
2025-06-05,278470,118400,127500,118100,120800,Naver
2025-06-05,278530,12845,13600,12810,13475,Naver
2025-06-05,298040,619000,664000,609000,650000,Naver
2025-06-05,307950,141400,142700,137800,139800,Naver
2025-06-05,316140,19130,20800,18640,20100,Naver
2025-06-05,323410,23150,24450,23150,24250,Naver
2025-06-05,329180,405500,456500,404500,425000,Naver
2025-06-05,352820,267000,288500,264500,284500,Naver
2025-06-05,360750,20081,20280,19868,19992,Naver
2025-06-05,373220,290500,295000,281500,291000,Naver
2025-06-05,379800,18338,18530,18151,18265,Naver
2025-06-05,379810,19480,19758,19252,19535,Naver
2025-06-05,396500,9682,10606,9677,10431,Naver
2025-06-05,402340,110400,132200,109100,129300,Naver
2025-06-05,443060,178300,185700,174800,182800,Naver
2025-06-05,454910,47250,50500,46700,50300,Naver
2025-06-05,488770,101505,101549,101505,101549,Naver
2025-06-05,950160,40600,41700,38400,38950,Naver
2025-06-13,000150,572000,607000,552000,569000,Naver
2025-06-13,000270,94400,99000,93800,97200,Naver
2025-06-13,000660,233000,246500,227500,235500,Naver
2025-06-13,000720,67600,78800,65000,73600,Naver
2025-06-13,000810,446500,466000,424000,436500,Naver
2025-06-13,000880,93300,98400,87700,88800,Naver
2025-06-13,001440,14280,16940,14190,15940,Naver
2025-06-13,003230,1195000,1237000,1114000,1196000,Naver
2025-06-13,003490,22900,23275,21250,21450,Naver
2025-06-13,003550,76000,77900,73900,74800,Naver
2025-06-13,003670,113894,129015,110210,123200,Naver
2025-06-13,005380,192900,204500,192300,199000,Naver
2025-06-13,005387,152800,157300,151600,153300,Naver
2025-06-13,005490,260500,271500,255000,264000,Naver
2025-06-13,005830,110000,118800,106600,112900,Naver
2025-06-13,005930,60400,60400,57700,58300,Naver
2025-06-13,005935,50200,50400,47450,47500,Naver
2025-06-13,005940,18090,18720,17830,18260,Naver
2025-06-13,006260,185200,194400,170500,172900,Naver
2025-06-13,006400,173500,176900,169400,172100,Naver
2025-06-13,006800,18021,19814,17683,18977,Naver
2025-06-13,007660,41450,45650,40650,44300,Naver
2025-06-13,009150,132600,133400,126500,127400,Naver
2025-06-13,009540,325500,356000,310000,350500,Naver
2025-06-13,010120,52900,54900,51100,51600,Naver
2025-06-13,010130,759000,793000,753000,788000,Naver
2025-06-13,010140,16760,17930,16310,17690,Naver
2025-06-13,010950,57400,66900,56600,63700,Naver
2025-06-13,011070,149600,151800,142600,144300,Naver
2025-06-13,011200,21950,25000,21650,24200,Naver
2025-06-13,012330,266500,290500,257500,282000,Naver
2025-06-13,012450,891000,982000,862000,945000,Naver
2025-06-13,015760,29700,31250,26700,27450,Naver
2025-06-13,016360,62300,67100,61600,64500,Naver
2025-06-13,017670,52800,55000,52600,54600,Naver
2025-06-13,018260,135500,141100,135000,137200,Naver
2025-06-13,024110,16470,17130,16410,16960,Naver
2025-06-13,028050,22500,23750,21850,23100,Naver
2025-06-13,028260,173000,174500,163000,165900,Naver
2025-06-13,030200,50500,52300,50500,51600,Naver
2025-06-13,032830,121600,127100,114000,124800,Naver
2025-06-13,033780,121800,125100,119200,123200,Naver
2025-06-13,034020,47200,56300,45800,54600,Naver
2025-06-13,034220,8670,9300,8640,8840,Naver
2025-06-13,034730,194400,204500,186000,190600,Naver
2025-06-13,035420,195400,206000,192300,200500,Naver
2025-06-13,035720,45950,53700,45700,51500,Naver
2025-06-13,036930,33050,33300,30800,31050,Naver
2025-06-13,039490,183000,206500,182000,195000,Naver
2025-06-13,042660,77800,86600,75000,84700,Naver
2025-06-13,042700,84000,90800,82100,86800,Naver
2025-06-13,047040,4590,4655,4285,4345,Naver
2025-06-13,047050,52000,53700,49350,50100,Naver
2025-06-13,047810,88000,98800,84000,97700,Naver
2025-06-13,051910,203000,214000,198700,208500,Naver
2025-06-13,055550,59500,61700,57900,59000,Naver
2025-06-13,064350,154000,190500,148700,186800,Naver
2025-06-13,064400,52000,64300,51800,63900,Naver
2025-06-13,066570,73000,76500,71800,72200,Naver
2025-06-13,068270,151648,157749,150695,153269,Naver
2025-06-13,069500,38091,39174,38003,38573,Naver
2025-06-13,071050,117700,125500,115700,120600,Naver
2025-06-13,079550,445500,533000,434000,526000,Naver
2025-06-13,086280,121500,124100,115800,117600,Naver
2025-06-13,086520,44850,46500,42550,42850,Naver
2025-06-13,086790,74500,80800,74000,78500,Naver
2025-06-13,096770,91900,98800,90500,92600,Naver
2025-06-13,102110,37974,39129,37959,38504,Naver
2025-06-13,105560,106100,114800,104700,106000,Naver
2025-06-13,122630,19730,20840,19605,20190,Naver
2025-06-13,133690,130650,133001,129316,130396,Naver
2025-06-13,138040,111400,114900,109900,110100,Naver
2025-06-13,161390,39300,40200,39050,39050,Naver
2025-06-13,180640,148500,155000,137700,140400,Naver
2025-06-13,196170,369000,416500,363000,385500,Naver
