날짜,종목코드,시가,고가,저가,종가,출처
2025-06-05,000150,563000,563000,533000,549000,Naver
2025-06-05,000270,89100,93500,89100,93100,Naver
2025-06-05,000660,225500,230000,222000,224500,Naver
2025-06-05,000720,71000,71100,65300,68000,Naver
2025-06-05,000810,425000,447000,418000,445500,Naver
2025-06-05,000880,92200,93000,88700,90700,Naver
2025-06-05,001440,13740,13800,13340,13660,Naver
2025-06-05,003230,1126000,1142000,1118000,1133000,Naver
2025-06-05,003490,23150,23500,22800,22800,Naver
2025-06-05,003550,75500,75900,73100,74100,Naver
2025-06-05,003670,112827,117771,112246,115348,Naver
2025-06-05,005380,186000,193000,186000,189600,Naver
2025-06-05,005387,151000,152900,150100,151800,Naver
2025-06-05,005490,246500,259000,246500,257000,Naver
2025-06-05,005830,101700,106900,101400,105900,Naver
2025-06-05,005930,58100,59900,57900,59100,Naver
2025-06-05,005935,47900,48950,47650,48500,Naver
2025-06-05,005940,17930,18250,17700,17860,Naver
2025-06-05,006260,180100,181800,175700,180500,Naver
2025-06-05,006400,170800,176300,170200,174300,Naver
2025-06-05,006800,17613,17822,17016,17743,Naver
2025-06-05,007660,40350,41900,39200,40650,Naver
2025-06-05,009150,123100,133300,122800,132000,Naver
2025-06-05,009540,331500,335000,319000,319000,Naver
2025-06-05,010120,51800,52300,50900,51800,Naver
2025-06-05,010130,753000,770000,753000,758000,Naver
2025-06-05,010140,16950,17160,16620,16750,Naver
2025-06-05,010950,56400,58000,56000,56300,Naver
2025-06-05,011070,144100,150500,143500,149400,Naver
2025-06-05,011200,22650,22950,21550,21600,Naver
2025-06-05,012330,249000,257500,249000,254000,Naver
2025-06-05,012450,848000,925000,844000,905000,Naver
2025-06-05,015760,30150,30400,29100,29350,Naver
2025-06-05,016360,62500,62900,60700,61500,Naver
2025-06-05,017670,52700,52900,52300,52600,Naver
2025-06-05,018260,131800,135400,131800,134600,Naver
2025-06-05,024110,15800,16190,15760,16050,Naver
2025-06-05,028050,22050,22450,21800,22300,Naver
2025-06-05,028260,162100,169000,157400,168900,Naver
2025-06-05,030200,49900,51000,49900,50300,Naver
2025-06-05,032830,108300,128200,106600,120500,Naver
2025-06-05,033780,122200,124900,121900,122200,Naver
2025-06-05,034020,45750,46250,43100,45900,Naver
2025-06-05,034220,8340,8600,8330,8500,Naver
2025-06-05,034730,188000,189500,180000,187000,Naver
2025-06-05,035420,186300,192000,186300,191200,Naver
2025-06-05,035720,42000,44900,41850,44300,Naver
2025-06-05,036930,32050,33700,31700,32600,Naver
2025-06-05,039490,175600,177800,169900,175200,Naver
2025-06-05,042660,77500,79400,77200,78000,Naver
2025-06-05,042700,83000,85000,81300,82700,Naver
2025-06-05,047040,4805,4805,4440,4535,Naver
2025-06-05,047050,49650,51000,49450,50500,Naver
2025-06-05,047810,88100,92700,88000,89200,Naver
2025-06-05,051910,199200,204000,197500,201500,Naver
2025-06-05,055550,59700,60100,58400,59200,Naver
2025-06-05,064350,157400,158100,150200,155500,Naver
2025-06-05,064400,51500,52100,51000,51500,Naver
2025-06-05,066570,71600,72800,71600,72400,Naver
2025-06-05,068270,147079,150016,147079,149742,Naver
2025-06-05,069500,37149,37894,37119,37507,Naver
2025-06-05,071050,113700,115300,111100,114100,Naver
2025-06-05,079550,452000,457000,439000,449500,Naver
2025-06-05,086280,114900,120200,113700,117900,Naver
2025-06-05,086520,43800,45750,43050,45350,Naver
2025-06-05,086790,73200,74700,73200,73500,Naver
2025-06-05,096770,91300,93200,90300,92100,Naver
2025-06-05,102110,37091,37839,37061,37467,Naver
2025-06-05,105560,107900,108000,104100,106300,Naver
2025-06-05,122630,18745,19490,18720,19125,Naver
2025-06-05,133690,130835,131025,130133,130337,Naver
2025-06-05,138040,113900,114500,110700,111100,Naver
2025-06-05,161390,38550,39400,38500,39000,Naver
2025-06-05,180640,150000,157600,146000,149700,Naver
2025-06-05,196170,376000,381000,365000,368500,Naver
2025-06-05,207940,1511481,1530614,1493820,1499707,Naver
2025-06-05,247540,91900,97900,90600,96200,Naver
2025-06-05,259960,365000,375500,365000,369500,Naver
2025-06-05,267250,123400,123400,117000,118000,Naver
2025-06-05,267260,383000,394500,382500,389000,Naver
2025-06-05,272210,43650,44800,43400,44000,Naver
2025-06-05,277810,284500,289500,278500,287500,Naver
2025-06-05,278470,125500,125600,118800,120800,Naver
2025-06-05,278530,13295,13600,13290,13475,Naver
2025-06-05,298040,648000,657000,644000,650000,Naver
2025-06-05,307950,140400,142200,138000,139800,Naver
2025-06-05,316140,20500,20800,20000,20100,Naver
2025-06-05,323410,23500,24450,23500,24250,Naver
2025-06-05,329180,447000,456500,418500,425000,Naver
2025-06-05,352820,284000,288500,281500,284500,Naver
2025-06-05,360750,20071,20086,19953,19992,Naver
2025-06-05,373220,287500,295000,284500,291000,Naver
2025-06-05,379800,18323,18348,18226,18265,Naver
