날짜,종목코드,시가,고가,저가,종가,출처
2025-06-05,000020,6600,6600,6480,6550,Naver
2025-06-05,000050,7310,7990,7270,7770,Naver
2025-06-05,000070,52049,59590,51048,58389,Naver
2025-06-05,000080,20150,20400,19820,20300,Naver
2025-06-05,000100,104900,105300,102900,103800,Naver
2025-06-05,000105,98400,99800,96800,98400,Naver
2025-06-05,000120,80100,85000,79500,84500,Naver
2025-06-05,000140,9310,11210,9150,10450,Naver
2025-06-05,000150,470000,563000,468000,549000,Naver
2025-06-05,000155,310500,360000,308000,347000,Naver
2025-06-05,000157,347000,379000,330000,366500,Naver
2025-06-05,000180,7215,7595,7175,7500,Naver
2025-06-05,000210,43700,51600,43000,48500,Naver
2025-06-05,000220,4610,4760,4535,4680,Naver
2025-06-05,000230,6930,7100,6630,6920,Naver
2025-06-05,000240,19520,19530,18200,18800,Naver
2025-06-05,000250,145700,163000,143700,152100,Naver
2025-06-05,000270,88400,93500,88100,93100,Naver
2025-06-05,000300,4200,4200,4200,4200,Naver
2025-06-05,000320,17950,24600,17410,21300,Naver
2025-06-05,000370,4630,4950,4455,4880,Naver
2025-06-05,000390,6030,6130,5960,6080,Naver
2025-06-05,000400,1639,1701,1604,1694,Naver
2025-06-05,000430,3725,3810,3685,3785,Naver
2025-06-05,000440,13100,13340,13060,13260,Naver
2025-06-05,000480,5310,5460,5310,5440,Naver
2025-06-05,000490,10800,10940,10600,10840,Naver
2025-06-05,000500,70800,74000,69800,71500,Naver
2025-06-05,000520,11100,11150,10650,10830,Naver
2025-06-05,000540,4205,4255,3975,4175,Naver
2025-06-05,000590,83000,89000,79300,88000,Naver
2025-06-05,000640,109164,112563,106542,110621,Naver
2025-06-05,000650,39750,41150,39750,40900,Naver
2025-06-05,000660,205000,230000,203000,224500,Naver
2025-06-05,000670,38865,42222,38087,42125,Naver
2025-06-05,000680,3620,3935,3565,3770,Naver
2025-06-05,000700,6040,6420,5980,6330,Naver
2025-06-05,000720,61900,71100,61800,68000,Naver
2025-06-05,000725,61300,64000,60000,61100,Naver
2025-06-05,000810,400000,447000,386000,445500,Naver
2025-06-05,000815,295000,308000,282000,306000,Naver
2025-06-05,000850,31500,32150,31200,31650,Naver
2025-06-05,000860,12500,12880,12250,12750,Naver
2025-06-05,000880,73500,97100,73200,90700,Naver
2025-06-05,000910,4775,4950,4670,4910,Naver
2025-06-05,000970,7040,7170,6840,7120,Naver
2025-06-05,000990,39850,44950,39650,44050,Naver
2025-06-05,001000,1637,1686,1550,1609,Naver
2025-06-05,001020,3625,3890,3605,3680,Naver
2025-06-05,001040,136100,156600,132500,153200,Naver
2025-06-05,001045,78000,87500,76500,85900,Naver
2025-06-05,001060,23300,23350,22850,23050,Naver
2025-06-05,001080,2760,2850,2760,2800,Naver
2025-06-05,001120,28300,28750,27900,28450,Naver
2025-06-05,001130,14260,15300,14220,14870,Naver
2025-06-05,001200,3380,3635,3270,3505,Naver
2025-06-05,001230,1785,1932,1703,1841,Naver
2025-06-05,001250,2625,2680,2590,2655,Naver
2025-06-05,001260,8940,9650,8660,9500,Naver
2025-06-05,001270,36850,44700,33600,41750,Naver
2025-06-05,001275,23800,26300,23000,25000,Naver
2025-06-05,001290,697,844,690,794,Naver
2025-06-05,001340,5780,5920,5670,5860,Naver
2025-06-05,001360,1636,1650,1590,1630,Naver
2025-06-05,001390,4380,4620,4310,4510,Naver
2025-06-05,001430,22650,24100,22150,23200,Naver
2025-06-05,001440,12780,13800,12580,13660,Naver
2025-06-05,001450,24300,25250,23700,25000,Naver
2025-06-05,001460,36100,39000,35800,38150,Naver
2025-06-05,001465,15510,16570,15510,16420,Naver
2025-06-05,001470,347,347,347,347,Naver
2025-06-05,001500,7160,7570,6850,7310,Naver
2025-06-05,001510,1173,1361,1161,1307,Naver
2025-06-05,001520,599,630,599,618,Naver
2025-06-05,001530,31524,33524,31238,33096,Naver
2025-06-05,001540,7760,7990,7700,7940,Naver
2025-06-05,001550,12600,13600,12450,13510,Naver
2025-06-05,001560,9800,10460,9140,10300,Naver
2025-06-05,001570,9900,9900,9900,9900,Naver
2025-06-05,001620,2395,2455,2370,2420,Naver
2025-06-05,001630,53600,55900,51400,54300,Naver
2025-06-05,001680,21700,22300,21550,22250,Naver
2025-06-05,001720,112000,124000,103300,121000,Naver
2025-06-05,001740,4130,4300,4090,4240,Naver
2025-06-05,001750,16150,16700,15570,16500,Naver
2025-06-05,001780,2250,2310,2235,2290,Naver
2025-06-05,001790,2885,2935,2845,2915,Naver
2025-06-05,001800,18910,24250,18620,21500,Naver
2025-06-05,001810,1636,1675,1609,1661,Naver
2025-06-05,001820,24900,26100,24200,25850,Naver
2025-06-05,001840,2215,2215,2215,2215,Naver
2025-06-05,001940,24100,25950,23200,25700,Naver
2025-06-05,002020,34400,38000,33050,35400,Naver
2025-06-05,002030,286500,294000,282000,288500,Naver
2025-06-05,002100,9320,9920,9320,9870,Naver
2025-06-05,002140,2750,2955,2720,2955,Naver
2025-06-05,002150,6600,6780,6560,6740,Naver
2025-06-05,002170,52400,55900,49700,53800,Naver
2025-06-05,002200,2945,2995,2935,2990,Naver
2025-06-05,002210,1390,1390,1390,1390,Naver
2025-06-05,002220,2005,3060,1980,2700,Naver
2025-06-05,002230,4065,4140,4040,4105,Naver
2025-06-05,002240,17450,17980,17260,17910,Naver
2025-06-05,002290,3520,3590,3430,3580,Naver
2025-06-05,002310,7300,7800,7280,7740,Naver
2025-06-05,002320,20800,21200,19970,20750,Naver
2025-06-05,002350,6710,6890,6270,6660,Naver
2025-06-05,002380,302500,333500,299000,327500,Naver
2025-06-05,002390,11510,11660,11500,11590,Naver
